Abbreviation,Consolidated_Category
p,Keys
cel,Keys
elp,Keys
key,Keys
pac,Keys
syn,Keys
snt,Keys
or,Organ
elo,Organ
har,Organ
t,Trumpet
c,Trumpet
fh,Trumpet
tp,Trumpet
hfp,Trumpet
tb,Trombone
bt,Trombone
vtb,Trombone
as,Sax_High
ss,Sax_High
Cm,Sax_High
sax,Sax_High
ts,Sax_Low
bar,Sax_Low
bsx,Sax_Low
cl,Reeds
bcl,Reeds
r,Reeds
ca,Reeds
o,Reeds
bsn,Reeds
f,Flute
pic,Flute
oc,Flute
acg,Acoustic_Guitar
g,Acoustic_Guitar
bj,Acoustic_Guitar
u,Acoustic_Guitar
md,Acoustic_Guitar
elg,Electric_Guitar
stg,Electric_Guitar
b,Double_Bass
sb,Double_Bass
bb,Double_Bass
vc,Double_Bass
d,Drums
bd,Drums
sd,Drums
wb,Drums
per,Percussion
cng,Percussion
bo,Percussion
tim,Percussion
tam,Percussion
x,Percussion
tym,Percussion
vib,Mallets_Harp
vbh,Mallets_Harp
hrp,Mallets_Harp
vn,Strings
vl,Strings
str,Strings
v,Vocals
bkv,Vocals
h,Harmonica_Whistle
w,Harmonica_Whistle
sw,Harmonica_Whistle
ah,Horns_Other
bh,Horns_Other
eu,Horns_Other
frh,Horns_Other
mel,Horns_Other
th,Horns_Other
